feature,mean_abs_shap,mean_shap,positive_impact%,rank,direction
EXT_SOURCE_MEAN,0.4006560170333728,-0.009113213195762094,44.2,1,↓ Decreases Risk
CODE_GENDER,0.12402502870109249,-0.0009113798352467073,33.550000000000004,2,↓ Decreases Risk
CREDIT_TERM,0.12118317360195642,0.007164593726586158,52.2,3,↑ Increases Risk
POS_CNT_INSTALMENT_MAX,0.09690237713410899,-0.0023237861968957193,19.05,4,↓ Decreases Risk
NAME_EDUCATION_TYPE,0.09376613295941526,-0.0022737773127911817,71.89999999999999,5,↓ Decreases Risk
INST_PAID_LATE_RATE,0.0924184208957765,-0.0024826862351340277,40.400000000000006,6,↓ Decreases Risk
PREV_AMT_ANNUITY_MEAN,0.09142403001471204,0.0017263606983954729,58.8,7,↑ Increases Risk
CREDIT_GOODS_DIFF,0.07872903092988608,-0.0009493939010310896,40.949999999999996,8,↓ Decreases Risk
PREV_APP_CREDIT_RATIO_MEAN,0.0700419557273594,-0.00018889645645485533,45.2,9,↓ Decreases Risk
AMT_ANNUITY,0.0626802636145817,0.00027852373144667697,52.300000000000004,10,↑ Increases Risk
CREDIT_GOODS_RATIO,0.06236690120760092,-0.002366347759214772,38.35,11,↓ Decreases Risk
EXT_SOURCE_MEAN_x_AGE,0.06070744787374977,-0.0003536148052087331,50.0,12,↓ Decreases Risk
EXT_SOURCE_MIN,0.05999206696301649,-0.0008437031471764972,25.650000000000002,13,↓ Decreases Risk
AMT_GOODS_PRICE,0.057975456446071744,0.009152419612230903,63.6,14,↑ Increases Risk
BUREAU_DEBT_CREDIT_RATIO,0.05694682070928041,0.001863974050764654,30.599999999999998,15,↑ Increases Risk
PREV_REFUSAL_RATE,0.05593910657228363,0.0010128725375019387,24.8,16,↑ Increases Risk
EXT_SOURCE_WEIGHTED,0.05097012217196609,0.005573971736121322,82.25,17,↑ Increases Risk
EXT_SOURCE_MAX,0.04976829505147333,0.007865146148264755,67.55,18,↑ Increases Risk
POS_MONTHS_COUNT,0.048662078754512846,0.00016835163982135216,50.949999999999996,19,↑ Increases Risk
NAME_FAMILY_STATUS,0.04751345776360648,0.0010856359810046874,35.55,20,↑ Increases Risk
EXT_SOURCE_3,0.0467397332652377,-0.0012772763677173977,35.0,21,↓ Decreases Risk
INST_COUNT,0.04672550476535819,0.0018866714419576358,60.9,22,↑ Increases Risk
